model,test_acc,infer_ms,fall_recall,liedown_recall
cnn_lstm,0.9953734302709848,0.04395591529692587,1.0,0.9932885906040269
blstm,0.9851288830138797,0.07764127700821663,1.0,0.9574944071588367
cnn_gru,0.998678122934567,0.05680726570784773,1.0,0.9977628635346756
attention_blstm,0.9824851288830139,0.0792125521937964,0.9956709956709957,0.9753914988814317
transformer,0.9881031064111038,0.008268705262459505,0.9935064935064936,0.9731543624161074
resnet1d,0.9966953073364178,0.007220160889447254,1.0,0.9977628635346756
